sport;year;state;gp;bp;gr;br;Row ;Column
Baseball;2017/2018;CT;17;5698;0,000327484;0,096222369;3;11
Adapted Basketball;2017/2018;CT;0;0;0;0;3;11
Skiing -- Alpine;2017/2018;CT;0;0;0;0;3;11
RUGBY;2017/2018;CT;0;0;0;0;3;11
Bocce - Outdoor;2017/2018;CT;0;0;0;0;3;11
Ultimate Frisbee;2017/2018;CT;0;0;0;0;3;11
Crew;2017/2018;CT;0;0;0;0;3;11
Rodeo;2017/2018;CT;0;0;0;0;3;11
DANCE;2017/2018;CT;0;0;0;0;3;11
Unified Flag Football;2017/2018;CT;0;0;0;0;3;11
Adapted Bocce - Indoor;2017/2018;CT;0;0;0;0;3;11
Dance/Drill;2017/2018;CT;0;0;0;0;3;11
Sand Volleyball;2017/2018;CT;0;0;0;0;3;11
Adaptive Golf;2017/2018;CT;0;0;0;0;3;11
Adaptive Handball;2017/2018;CT;0;0;0;0;3;11
Riflery;2017/2018;CT;0;0;0;0;3;11
Bowling;2017/2018;CT;0;0;0;0;3;11
Equestrian;2017/2018;CT;0;0;0;0;3;11
Beach Volleyball;2017/2018;CT;0;0;0;0;3;11
Judo;2017/2018;CT;0;0;0;0;3;11
Mixed 6-Coed Volleyball;2017/2018;CT;0;0;0;0;3;11
Adaptive Corn Toss;2017/2018;CT;0;0;0;0;3;11
Native Youth Olympics;2017/2018;CT;0;0;0;0;3;11
Archery;2017/2018;CT;0;0;0;0;3;11
Adapted Softball;2017/2018;CT;0;0;0;0;3;11
Unified Track and Field -- Outdoor;2017/2018;CT;0;0;0;0;3;11
Trap Shooting;2017/2018;CT;0;0;0;0;3;11
Adapted Soccer;2017/2018;CT;0;0;0;0;3;11
Weight Lifting;2017/2018;CT;0;0;0;0;3;11
Cycling;2017/2018;CT;0;0;0;0;3;11
Martial Arts;2017/2018;CT;0;0;0;0;3;11
sailing;2017/2018;CT;0;0;0;0;3;11
Mt. Biking;2017/2018;CT;0;0;0;0;3;11
Kayaking;2017/2018;CT;0;0;0;0;3;11
Rythmic Gymnastics;2017/2018;CT;0;0;0;0;3;11
Football -- 9-player;2017/2018;CT;0;0;0;0;3;11
Adapted Bowling;2017/2018;CT;0;0;0;0;3;11
Decathlon;2017/2018;CT;0;0;0;0;3;11
Roller Hockey;2017/2018;CT;0;0;0;0;3;11
Skiing -- Cross Country;2017/2018;CT;0;0;0;0;3;11
Dance Team, High Kick;2017/2018;CT;0;0;0;0;3;11
Bass Fishing;2017/2018;CT;0;0;0;0;3;11
Adaptive Tennis;2017/2018;CT;0;0;0;0;3;11
Canoe Paddling;2017/2018;CT;0;0;0;0;3;11
Rock Climbing;2017/2018;CT;0;0;0;0;3;11
Football -- 8-player;2017/2018;CT;0;0;0;0;3;11
Pentathlon;2017/2018;CT;0;0;0;0;3;11
Air Riflery;2017/2018;CT;0;0;0;0;3;11
Synchronized Swimming;2017/2018;CT;0;0;0;0;3;11
Adapted Volleyball;2017/2018;CT;0;0;0;0;3;11
Team Tennis;2017/2018;CT;0;0;0;0;3;11
Soft Tennis;2017/2018;CT;0;0;0;0;3;11
Flag Football;2017/2018;CT;0;0;0;0;3;11
Adapted Track;2017/2018;CT;0;0;0;0;3;11
Softball -- Slow Pitch;2017/2018;CT;0;0;0;0;3;11
Water Polo;2017/2018;CT;0;0;0;0;3;11
Squash;2017/2018;CT;0;0;0;0;3;11
Adapted Floor Hockey;2017/2018;CT;0;0;0;0;3;11
Snowboarding;2017/2018;CT;0;0;0;0;3;11
Adaptive Strength Training;2017/2018;CT;0;0;0;0;3;11
Drill Team;2017/2018;CT;0;0;0;0;3;11
Figure Skating;2017/2018;CT;0;0;0;0;3;11
Surfing;2017/2018;CT;0;0;0;0;3;11
Heptathlon;2017/2018;CT;0;0;0;0;3;11
Football -- 6-player;2017/2018;CT;0;0;0;0;3;11
Fencing;2017/2018;CT;0;0;0;0;3;11
Dance Team, Jazz;2017/2018;CT;0;0;0;0;3;11
Badminton;2017/2018;CT;0;0;0;0;3;11
Soccer;2017/2018;DC;574;829;0,110320969;0,108749836;5;12
Basketball;2017/2018;DC;526;1045;0,101095522;0,137085137;5;12
Volleyball;2017/2018;DC;469;0;0,090140304;0;5;12
Track and Field -- Outdoor;2017/2018;DC;433;672;0,083221219;0,08815427;5;12
Track and Field -- Indoor;2017/2018;DC;425;371;0,081683644;0,048668503;5;12
Cross Country;2017/2018;DC;399;478;0,076686527;0,062704972;5;12
Competitive Spirit Squad;2017/2018;DC;336;0;0,064578128;0;5;12
Ultimate Frisbee;2017/2018;DC;319;92;0,061310782;0,012068739;5;12
Softball -- Fast Pitch;2017/2018;DC;296;0;0,056890256;0;5;12
Crew;2017/2018;DC;263;176;0,050547761;0,023088023;5;12
Lacrosse;2017/2018;DC;259;376;0,049778974;0,049324413;5;12
Swimming & Diving;2017/2018;DC;257;265;0,04939458;0,034763217;5;12
Field Hockey;2017/2018;DC;217;0;0,041706708;0;5;12
Tennis;2017/2018;DC;211;238;0,040553527;0,031221304;5;12
Bowling;2017/2018;DC;85;0;0,016336729;0;5;12
Squash;2017/2018;DC;45;38;0,008648856;0,004984914;5;12
Golf;2017/2018;DC;35;130;0,006726888;0,017053653;5;12
Ice Hockey;2017/2018;DC;26;147;0,004997117;0,019283747;5;12
Equestrian;2017/2018;DC;19;0;0,003651739;0;5;12
Skiing -- Cross Country;2017/2018;DC;5;0;0,000960984;0;5;12
Riflery;2017/2018;DC;2;8;0,000384394;0,001049456;5;12
Air Riflery;2017/2018;DC;2;8;0,000384394;0,001049456;5;12
Baseball;2017/2018;DC;0;669;0;0,087760724;5;12
Football -- 6-player;2017/2018;DC;0;0;0;0;5;12
Bocce - Outdoor;2017/2018;DC;0;0;0;0;5;12
Adaptive Golf;2017/2018;DC;0;0;0;0;5;12
Rock Climbing;2017/2018;DC;0;12;0;0,001574183;5;12
Adaptive Strength Training;2017/2018;DC;0;0;0;0;5;12
Adaptive Handball;2017/2018;DC;0;0;0;0;5;12
Gymnastics;2017/2018;DC;0;0;0;0;5;12
Fencing;2017/2018;DC;0;19;0;0,002492457;5;12
Adapted Softball;2017/2018;DC;0;0;0;0;5;12
Mixed 6-Coed Volleyball;2017/2018;DC;0;0;0;0;5;12
Adapted Bowling;2017/2018;DC;0;0;0;0;5;12
Weight Lifting;2017/2018;DC;0;0;0;0;5;12
Bass Fishing;2017/2018;DC;0;0;0;0;5;12
Trap Shooting;2017/2018;DC;0;0;0;0;5;12
Mt. Biking;2017/2018;DC;0;0;0;0;5;12
Canoe Paddling;2017/2018;DC;0;0;0;0;5;12
Snowboarding;2017/2018;DC;0;0;0;0;5;12
Wrestling;2017/2018;DC;0;173;0;0,022694477;5;12
Dance/Drill;2017/2018;DC;0;0;0;0;5;12
Beach Volleyball;2017/2018;DC;0;0;0;0;5;12
Kayaking;2017/2018;DC;0;0;0;0;5;12
Football -- 11-Player;2017/2018;DC;0;1346;0;0,176570904;5;12
Martial Arts;2017/2018;DC;0;0;0;0;5;12
Heptathlon;2017/2018;DC;0;0;0;0;5;12
Softball -- Slow Pitch;2017/2018;DC;0;0;0;0;5;12
Adapted Track;2017/2018;DC;0;0;0;0;5;12
Unified Track and Field -- Outdoor;2017/2018;DC;0;0;0;0;5;12
Dance Team, Jazz;2017/2018;DC;0;0;0;0;5;12
Water Polo;2017/2018;DC;0;60;0;0,007870917;5;12
Adapted Bocce - Indoor;2017/2018;DC;0;0;0;0;5;12
Football -- 8-player;2017/2018;DC;0;0;0;0;5;12
Cycling;2017/2018;DC;0;0;0;0;5;12
Team Tennis;2017/2018;DC;0;0;0;0;5;12
Drill Team;2017/2018;DC;0;0;0;0;5;12
Badminton;2017/2018;DC;0;0;0;0;5;12
Soft Tennis;2017/2018;DC;0;0;0;0;5;12
Figure Skating;2017/2018;DC;0;0;0;0;5;12
Unified Flag Football;2017/2018;DC;0;0;0;0;5;12
Surfing;2017/2018;DC;0;0;0;0;5;12
Dance Team, High Kick;2017/2018;DC;0;0;0;0;5;12
Flag Football;2017/2018;DC;0;200;0;0,02623639;5;12
Native Youth Olympics;2017/2018;DC;0;55;0;0,007215007;5;12
Pentathlon;2017/2018;DC;0;0;0;0;5;12
Adapted Floor Hockey;2017/2018;DC;0;0;0;0;5;12
Rythmic Gymnastics;2017/2018;DC;0;0;0;0;5;12
Skiing -- Alpine;2017/2018;DC;0;0;0;0;5;12
Synchronized Swimming;2017/2018;DC;0;0;0;0;5;12
sailing;2017/2018;DC;0;0;0;0;5;12
Sand Volleyball;2017/2018;DC;0;0;0;0;5;12
Roller Hockey;2017/2018;DC;0;0;0;0;5;12
Judo;2017/2018;DC;0;0;0;0;5;12
Rodeo;2017/2018;DC;0;0;0;0;5;12
Decathlon;2017/2018;DC;0;0;0;0;5;12
RUGBY;2017/2018;DC;0;216;0;0,028335301;5;12
DANCE;2017/2018;DC;0;0;0;0;5;12
Football -- 9-player;2017/2018;DC;0;0;0;0;5;12
Archery;2017/2018;DC;0;0;0;0;5;12
Adaptive Tennis;2017/2018;DC;0;0;0;0;5;12
Adapted Volleyball;2017/2018;DC;0;0;0;0;5;12
Adaptive Corn Toss;2017/2018;DC;0;0;0;0;5;12
Adapted Basketball;2017/2018;DC;0;0;0;0;5;12
Adapted Soccer;2017/2018;DC;0;0;0;0;5;12
Soccer;2017/2018;DE;1690;2129;0,128624705;0,125961425;4;9,5
Volleyball;2017/2018;DE;1656;197;0,126036989;0,011655425;4;9,5
Field Hockey;2017/2018;DE;1594;0;0,121318213;0;4;9,5
Track and Field -- Outdoor;2017/2018;DE;1250;1613;0,095136616;0,095432493;4;9,5
Basketball;2017/2018;DE;1137;1775;0,086536266;0,105017158;4;9,5
Lacrosse;2017/2018;DE;1072;1613;0,081589162;0,095432493;4;9,5
Softball -- Fast Pitch;2017/2018;DE;1069;0;0,081360834;0;4;9,5
Cross Country;2017/2018;DE;896;1139;0,068193926;0,067388475;4;9,5
Track and Field -- Indoor;2017/2018;DE;864;898;0,065758429;0,053129807;4;9,5
Swimming & Diving;2017/2018;DE;852;698;0,064845118;0,041296888;4;9,5
Tennis;2017/2018;DE;577;438;0,043915062;0,025914093;4;9,5
Competitive Spirit Squad;2017/2018;DE;166;1;0,012634143;5,91646E-05;4;9,5
Crew;2017/2018;DE;129;81;0,009818099;0,004792332;4;9,5
Golf;2017/2018;DE;105;398;0,007991476;0,023547509;4;9,5
Unified Track and Field -- Outdoor;2017/2018;DE;36;59;0,002739935;0,003490711;4;9,5
Wrestling;2017/2018;DE;25;1109;0,001902732;0,065613537;4;9,5
Unified Flag Football;2017/2018;DE;21;122;0,001598295;0,007218081;4;9,5
sailing;2017/2018;DE;0;0;0;0;4;9,5
Adaptive Strength Training;2017/2018;DE;0;0;0;0;4;9,5
Martial Arts;2017/2018;DE;0;0;0;0;4;9,5
Figure Skating;2017/2018;DE;0;0;0;0;4;9,5
Kayaking;2017/2018;DE;0;0;0;0;4;9,5
Football -- 8-player;2017/2018;DE;0;0;0;0;4;9,5
Football -- 9-player;2017/2018;DE;0;0;0;0;4;9,5
Skiing -- Cross Country;2017/2018;DE;0;0;0;0;4;9,5
Football -- 6-player;2017/2018;DE;0;0;0;0;4;9,5
Snowboarding;2017/2018;DE;0;0;0;0;4;9,5
Football -- 11-Player;2017/2018;DE;0;2868;0;0,169684061;4;9,5
Team Tennis;2017/2018;DE;0;0;0;0;4;9,5
Dance Team, Jazz;2017/2018;DE;0;0;0;0;4;9,5
Heptathlon;2017/2018;DE;0;0;0;0;4;9,5
Adaptive Tennis;2017/2018;DE;0;0;0;0;4;9,5
DANCE;2017/2018;DE;0;0;0;0;4;9,5
Adapted Track;2017/2018;DE;0;0;0;0;4;9,5
Rock Climbing;2017/2018;DE;0;0;0;0;4;9,5
Air Riflery;2017/2018;DE;0;0;0;0;4;9,5
Skiing -- Alpine;2017/2018;DE;0;0;0;0;4;9,5
Sand Volleyball;2017/2018;DE;0;0;0;0;4;9,5
Adaptive Golf;2017/2018;DE;0;0;0;0;4;9,5
Rodeo;2017/2018;DE;0;0;0;0;4;9,5
Adapted Bocce - Indoor;2017/2018;DE;0;0;0;0;4;9,5
Flag Football;2017/2018;DE;0;0;0;0;4;9,5
Canoe Paddling;2017/2018;DE;0;0;0;0;4;9,5
Rythmic Gymnastics;2017/2018;DE;0;0;0;0;4;9,5
Badminton;2017/2018;DE;0;0;0;0;4;9,5
Bass Fishing;2017/2018;DE;0;0;0;0;4;9,5
Archery;2017/2018;DE;0;0;0;0;4;9,5
Adaptive Handball;2017/2018;DE;0;0;0;0;4;9,5
Adapted Bowling;2017/2018;DE;0;0;0;0;4;9,5
Bowling;2017/2018;DE;0;0;0;0;4;9,5
Adaptive Corn Toss;2017/2018;DE;0;0;0;0;4;9,5
Dance/Drill;2017/2018;DE;0;0;0;0;4;9,5
RUGBY;2017/2018;DE;0;120;0;0,007099752;4;9,5
Adapted Softball;2017/2018;DE;0;0;0;0;4;9,5
Drill Team;2017/2018;DE;0;0;0;0;4;9,5
Weight Lifting;2017/2018;DE;0;0;0;0;4;9,5
Adapted Floor Hockey;2017/2018;DE;0;0;0;0;4;9,5
Fencing;2017/2018;DE;0;0;0;0;4;9,5
Pentathlon;2017/2018;DE;0;0;0;0;4;9,5
Beach Volleyball;2017/2018;DE;0;0;0;0;4;9,5
Softball -- Slow Pitch;2017/2018;DE;0;0;0;0;4;9,5
Adapted Basketball;2017/2018;DE;0;0;0;0;4;9,5
Ice Hockey;2017/2018;DE;0;98;0;0,00579813;4;9,5
Baseball;2017/2018;DE;0;1469;0;0,086912791;4;9,5
Judo;2017/2018;DE;0;0;0;0;4;9,5
Bocce - Outdoor;2017/2018;DE;0;0;0;0;4;9,5
Adapted Volleyball;2017/2018;DE;0;0;0;0;4;9,5
Cycling;2017/2018;DE;0;0;0;0;4;9,5
Mixed 6-Coed Volleyball;2017/2018;DE;0;0;0;0;4;9,5
Soft Tennis;2017/2018;DE;0;0;0;0;4;9,5
Native Youth Olympics;2017/2018;DE;0;0;0;0;4;9,5
Ultimate Frisbee;2017/2018;DE;0;0;0;0;4;9,5
Gymnastics;2017/2018;DE;0;0;0;0;4;9,5
Squash;2017/2018;DE;0;77;0;0,004555674;4;9,5
Trap Shooting;2017/2018;DE;0;0;0;0;4;9,5
Synchronized Swimming;2017/2018;DE;0;0;0;0;4;9,5
Surfing;2017/2018;DE;0;0;0;0;4;9,5
Roller Hockey;2017/2018;DE;0;0;0;0;4;9,5
Mt. Biking;2017/2018;DE;0;0;0;0;4;9,5
Decathlon;2017/2018;DE;0;0;0;0;4;9,5
Dance Team, High Kick;2017/2018;DE;0;0;0;0;4;9,5
Adapted Soccer;2017/2018;DE;0;0;0;0;4;9,5
Equestrian;2017/2018;DE;0;0;0;0;4;9,5
Riflery;2017/2018;DE;0;0;0;0;4;9,5
Water Polo;2017/2018;DE;0;0;0;0;4;9,5
Volleyball;2017/2018;FL;19319;2803;0,141909561;0,015996576;8;8,5
Soccer;2017/2018;FL;17360;19596;0,127519539;0,111833357;8;8,5
Track and Field -- Outdoor;2017/2018;FL;16993;18926;0,124823706;0,108009702;8;8,5
Basketball;2017/2018;FL;13648;22262;0,100252688;0,127048081;8;8,5
Softball -- Fast Pitch;2017/2018;FL;12670;0;0,093068696;0;8;8,5
Tennis;2017/2018;FL;8758;5138;0,064332726;0,0293223;8;8,5
Swimming & Diving;2017/2018;FL;8542;7238;0,062746077;0,041306891;8;8,5
Flag Football;2017/2018;FL;7952;0;0,058412176;0;8;8,5
Cross Country;2017/2018;FL;7704;8706;0,056590468;0,049684691;8;8,5
Weight Lifting;2017/2018;FL;5865;5514;0,043081918;0,031468112;8;8,5
Lacrosse;2017/2018;FL;5743;7355;0,042185755;0,041974604;8;8,5
Competitive Spirit Squad;2017/2018;FL;5310;333;0,039005113;0,001900414;8;8,5
Golf;2017/2018;FL;2543;4145;0,01867985;0,0236553;8;8,5
Bowling;2017/2018;FL;1751;1559;0,012862138;0,008897132;8;8,5
Water Polo;2017/2018;FL;1358;1330;0,009975319;0,007590241;8;8,5
Wrestling;2017/2018;FL;447;8041;0,003283481;0,045889571;8;8,5
Football -- 11-Player;2017/2018;FL;87;41852;0,000639067;0,238847196;8;8,5
Baseball;2017/2018;FL;76;20417;0,000558265;0,116518762;8;8,5
Adapted Track;2017/2018;FL;10;10;7,3456E-05;5,70695E-05;8;8,5
Martial Arts;2017/2018;FL;0;0;0;0;8;8,5
Crew;2017/2018;FL;0;0;0;0;8;8,5
Adapted Floor Hockey;2017/2018;FL;0;0;0;0;8;8,5
Adaptive Strength Training;2017/2018;FL;0;0;0;0;8;8,5
Heptathlon;2017/2018;FL;0;0;0;0;8;8,5
Ice Hockey;2017/2018;FL;0;0;0;0;8;8,5
Adaptive Corn Toss;2017/2018;FL;0;0;0;0;8;8,5
Adapted Basketball;2017/2018;FL;0;0;0;0;8;8,5
Fencing;2017/2018;FL;0;0;0;0;8;8,5
Adapted Bocce - Indoor;2017/2018;FL;0;0;0;0;8;8,5
Adapted Softball;2017/2018;FL;0;0;0;0;8;8,5
Figure Skating;2017/2018;FL;0;0;0;0;8;8,5
Sand Volleyball;2017/2018;FL;0;0;0;0;8;8,5
Mt. Biking;2017/2018;FL;0;0;0;0;8;8,5
Football -- 8-player;2017/2018;FL;0;0;0;0;8;8,5
Dance Team, High Kick;2017/2018;FL;0;0;0;0;8;8,5
Field Hockey;2017/2018;FL;0;0;0;0;8;8,5
Football -- 9-player;2017/2018;FL;0;0;0;0;8;8,5
Badminton;2017/2018;FL;0;0;0;0;8;8,5
Judo;2017/2018;FL;0;0;0;0;8;8,5
Adapted Soccer;2017/2018;FL;0;0;0;0;8;8,5
Cycling;2017/2018;FL;0;0;0;0;8;8,5
sailing;2017/2018;FL;0;0;0;0;8;8,5
Rythmic Gymnastics;2017/2018;FL;0;0;0;0;8;8,5
DANCE;2017/2018;FL;0;0;0;0;8;8,5
Softball -- Slow Pitch;2017/2018;FL;0;0;0;0;8;8,5
Rodeo;2017/2018;FL;0;0;0;0;8;8,5
Dance Team, Jazz;2017/2018;FL;0;0;0;0;8;8,5
RUGBY;2017/2018;FL;0;0;0;0;8;8,5
Canoe Paddling;2017/2018;FL;0;0;0;0;8;8,5
Rock Climbing;2017/2018;FL;0;0;0;0;8;8,5
Squash;2017/2018;FL;0;0;0;0;8;8,5
Air Riflery;2017/2018;FL;0;0;0;0;8;8,5
Drill Team;2017/2018;FL;0;0;0;0;8;8,5
Trap Shooting;2017/2018;FL;0;0;0;0;8;8,5
Synchronized Swimming;2017/2018;FL;0;0;0;0;8;8,5
Skiing -- Alpine;2017/2018;FL;0;0;0;0;8;8,5
Team Tennis;2017/2018;FL;0;0;0;0;8;8,5
Decathlon;2017/2018;FL;0;0;0;0;8;8,5
Adapted Volleyball;2017/2018;FL;0;0;0;0;8;8,5
Native Youth Olympics;2017/2018;FL;0;0;0;0;8;8,5
Beach Volleyball;2017/2018;FL;0;0;0;0;8;8,5
Archery;2017/2018;FL;0;0;0;0;8;8,5
Mixed 6-Coed Volleyball;2017/2018;FL;0;0;0;0;8;8,5
Snowboarding;2017/2018;FL;0;0;0;0;8;8,5
Track and Field -- Indoor;2017/2018;FL;0;0;0;0;8;8,5
Gymnastics;2017/2018;FL;0;0;0;0;8;8,5
Riflery;2017/2018;FL;0;0;0;0;8;8,5
Surfing;2017/2018;FL;0;0;0;0;8;8,5
Dance/Drill;2017/2018;FL;0;0;0;0;8;8,5
Ultimate Frisbee;2017/2018;FL;0;0;0;0;8;8,5
Football -- 6-player;2017/2018;FL;0;0;0;0;8;8,5
Adaptive Handball;2017/2018;FL;0;0;0;0;8;8,5
Unified Track and Field -- Outdoor;2017/2018;FL;0;0;0;0;8;8,5
Bocce - Outdoor;2017/2018;FL;0;0;0;0;8;8,5
Adaptive Golf;2017/2018;FL;0;0;0;0;8;8,5
Adaptive Tennis;2017/2018;FL;0;0;0;0;8;8,5
Equestrian;2017/2018;FL;0;0;0;0;8;8,5
Pentathlon;2017/2018;FL;0;0;0;0;8;8,5
Bass Fishing;2017/2018;FL;0;0;0;0;8;8,5
Adapted Bowling;2017/2018;FL;0;0;0;0;8;8,5
Kayaking;2017/2018;FL;0;0;0;0;8;8,5
Roller Hockey;2017/2018;FL;0;0;0;0;8;8,5
Skiing -- Cross Country;2017/2018;FL;0;0;0;0;8;8,5
Unified Flag Football;2017/2018;FL;0;0;0;0;8;8,5
Soft Tennis;2017/2018;FL;0;0;0;0;8;8,5
Track and Field -- Outdoor;2017/2018;GA;11208;14161;0,139264414;0,117045633;7;8
Soccer;2017/2018;GA;10355;11910;0,128665507;0,098440328;7;8
Basketball;2017/2018;GA;8777;13021;0,109058151;0,107623133;7;8
Volleyball;2017/2018;GA;8485;0;0,10542992;0;7;8
Softball -- Fast Pitch;2017/2018;GA;7920;0;0,098409543;0;7;8
Cross Country;2017/2018;GA;6478;8264;0,080492048;0,068304859;7;8
Team Tennis;2017/2018;GA;5003;4401;0,062164513;0,036375809;7;8
Swimming & Diving;2017/2018;GA;4986;3911;0,06195328;0,032325787;7;8
Competitive Spirit Squad;2017/2018;GA;4672;89;0,05805169;0,000735616;7;8
Lacrosse;2017/2018;GA;3420;4142;0,04249503;0,034235083;7;8
DANCE;2017/2018;GA;2403;68;0,02985835;0,000562044;7;8
Drill Team;2017/2018;GA;2276;682;0,028280318;0,005636969;7;8
Golf;2017/2018;GA;1855;3241;0,023049205;0,026788002;7;8
Weight Lifting;2017/2018;GA;595;2455;0,007393141;0,020291436;7;8
Riflery;2017/2018;GA;491;746;0,006100895;0,006165952;7;8
Gymnastics;2017/2018;GA;488;0;0,006063618;0;7;8
Softball -- Slow Pitch;2017/2018;GA;378;0;0,004696819;0;7;8
Wrestling;2017/2018;GA;239;7799;0,002969682;0,064461471;7;8
Fencing;2017/2018;GA;143;219;0,001776839;0,001810112;7;8
Adapted Basketball;2017/2018;GA;107;186;0,001329523;0,001537355;7;8
Adapted Track;2017/2018;GA;107;172;0,001329523;0,00142164;7;8
Football -- 11-Player;2017/2018;GA;66;33027;0,00082008;0,272979742;7;8
Baseball;2017/2018;GA;28;12493;0,000347913;0,103259028;7;8
Native Youth Olympics;2017/2018;GA;0;0;0;0;7;8
Water Polo;2017/2018;GA;0;0;0;0;7;8
Squash;2017/2018;GA;0;0;0;0;7;8
Adaptive Golf;2017/2018;GA;0;0;0;0;7;8
Tennis;2017/2018;GA;0;0;0;0;7;8
Sand Volleyball;2017/2018;GA;0;0;0;0;7;8
Unified Flag Football;2017/2018;GA;0;0;0;0;7;8
Pentathlon;2017/2018;GA;0;0;0;0;7;8
Canoe Paddling;2017/2018;GA;0;0;0;0;7;8
Ice Hockey;2017/2018;GA;0;0;0;0;7;8
Beach Volleyball;2017/2018;GA;0;0;0;0;7;8
Decathlon;2017/2018;GA;0;0;0;0;7;8
Bowling;2017/2018;GA;0;0;0;0;7;8
Air Riflery;2017/2018;GA;0;0;0;0;7;8
Adapted Bocce - Indoor;2017/2018;GA;0;0;0;0;7;8
Dance Team, High Kick;2017/2018;GA;0;0;0;0;7;8
Adapted Bowling;2017/2018;GA;0;0;0;0;7;8
Adapted Volleyball;2017/2018;GA;0;0;0;0;7;8
Mixed 6-Coed Volleyball;2017/2018;GA;0;0;0;0;7;8
Field Hockey;2017/2018;GA;0;0;0;0;7;8
RUGBY;2017/2018;GA;0;0;0;0;7;8
sailing;2017/2018;GA;0;0;0;0;7;8
Trap Shooting;2017/2018;GA;0;0;0;0;7;8
Unified Track and Field -- Outdoor;2017/2018;GA;0;0;0;0;7;8
Snowboarding;2017/2018;GA;0;0;0;0;7;8
Rodeo;2017/2018;GA;0;0;0;0;7;8
Figure Skating;2017/2018;GA;0;0;0;0;7;8
Rythmic Gymnastics;2017/2018;GA;0;0;0;0;7;8
Flag Football;2017/2018;GA;0;0;0;0;7;8
Mt. Biking;2017/2018;GA;0;0;0;0;7;8
Dance/Drill;2017/2018;GA;0;0;0;0;7;8
Equestrian;2017/2018;GA;0;0;0;0;7;8
Kayaking;2017/2018;GA;0;0;0;0;7;8
Football -- 6-player;2017/2018;GA;0;0;0;0;7;8
Rock Climbing;2017/2018;GA;0;0;0;0;7;8
Badminton;2017/2018;GA;0;0;0;0;7;8
Dance Team, Jazz;2017/2018;GA;0;0;0;0;7;8
Adaptive Strength Training;2017/2018;GA;0;0;0;0;7;8
Heptathlon;2017/2018;GA;0;0;0;0;7;8
Bass Fishing;2017/2018;GA;0;0;0;0;7;8
Adapted Floor Hockey;2017/2018;GA;0;0;0;0;7;8
Soft Tennis;2017/2018;GA;0;0;0;0;7;8
Adapted Soccer;2017/2018;GA;0;0;0;0;7;8
Martial Arts;2017/2018;GA;0;0;0;0;7;8
Ultimate Frisbee;2017/2018;GA;0;0;0;0;7;8
Crew;2017/2018;GA;0;0;0;0;7;8
Roller Hockey;2017/2018;GA;0;0;0;0;7;8
Adaptive Handball;2017/2018;GA;0;0;0;0;7;8
Track and Field -- Indoor;2017/2018;GA;0;0;0;0;7;8
Skiing -- Cross Country;2017/2018;GA;0;0;0;0;7;8
Adaptive Tennis;2017/2018;GA;0;0;0;0;7;8
Judo;2017/2018;GA;0;0;0;0;7;8
Football -- 9-player;2017/2018;GA;0;0;0;0;7;8
Surfing;2017/2018;GA;0;0;0;0;7;8
Synchronized Swimming;2017/2018;GA;0;0;0;0;7;8
Cycling;2017/2018;GA;0;0;0;0;7;8
Bocce - Outdoor;2017/2018;GA;0;0;0;0;7;8
Adaptive Corn Toss;2017/2018;GA;0;0;0;0;7;8
Archery;2017/2018;GA;0;0;0;0;7;8
Skiing -- Alpine;2017/2018;GA;0;0;0;0;7;8
Football -- 8-player;2017/2018;GA;0;0;0;0;7;8
Adapted Softball;2017/2018;GA;0;0;0;0;7;8
Volleyball;2017/2018;HI;1902;1524;0,113960455;0,072609462;8;0,5
Track and Field -- Outdoor;2017/2018;HI;1719;2125;0,102995806;0,101243509;8;0,5
Soccer;2017/2018;HI;1673;1812;0,100239664;0,086330935;8;0,5
Softball -- Fast Pitch;2017/2018;HI;1299;0;0,077831037;0;8;0,5
Canoe Paddling;2017/2018;HI;1273;1227;0,076273217;0,058459193;8;0,5
Basketball;2017/2018;HI;1267;1727;0,075913721;0,082281195;8;0,5
Competitive Spirit Squad;2017/2018;HI;900;34;0,053924506;0,001619896;8;0,5
Swimming & Diving;2017/2018;HI;897;663;0,053744757;0,031587975;8;0,5
Tennis;2017/2018;HI;852;616;0,051048532;0,029348706;8;0,5
Team Tennis;2017/2018;HI;852;616;0,051048532;0,029348706;8;0,5
Cross Country;2017/2018;HI;847;1170;0,050748951;0,055743485;8;0,5
Water Polo;2017/2018;HI;625;140;0,037447573;0,006670161;8;0,5
Wrestling;2017/2018;HI;592;1078;0,035470342;0,051360236;8;0,5
Judo;2017/2018;HI;507;688;0,030377472;0,032779075;8;0,5
Bowling;2017/2018;HI;437;492;0,026183343;0,02344085;8;0,5
Air Riflery;2017/2018;HI;425;516;0,02546435;0,024584306;8;0,5
Golf;2017/2018;HI;262;348;0,015698023;0,016580113;8;0,5
Soft Tennis;2017/2018;HI;170;100;0,01018574;0,0047644;8;0,5
Kayaking;2017/2018;HI;110;86;0,006590773;0,004097384;8;0,5
Unified Track and Field -- Outdoor;2017/2018;HI;32;32;0,001917316;0,001524608;8;0,5
Football -- 11-Player;2017/2018;HI;22;4167;0,001318155;0,198532565;8;0,5
Surfing;2017/2018;HI;17;41;0,001018574;0,001953404;8;0,5
Baseball;2017/2018;HI;8;1656;0,000479329;0,078898471;8;0,5
Football -- 8-player;2017/2018;HI;2;131;0,000119832;0,006241365;8;0,5
Unified Flag Football;2017/2018;HI;0;0;0;0;8;0,5
Native Youth Olympics;2017/2018;HI;0;0;0;0;8;0,5
